chr,rga,Position ,Density
chr-01,B,1,36
chr-01,A,3,429
chr-01,A,4,223
chr-01,A,8,10
chr-01,B,9,319
chr-01,B,10,346
chr-01,B,11,111
chr-01,B,12,358
chr-01,A,14,421
chr-01,B,15,67
chr-01,A,16,283
chr-01,A,17,251
chr-01,A,20,230
chr-01,B,21,271
chr-01,B,22,386
chr-01,A,23,29
chr-01,B,25,60
chr-01,B,28,118
chr-01,A,33,13
chr-01,B,34,153
chr-01,B,36,206
chr-01,A,38,269
chr-01,A,40,353
chr-01,B,42,240
chr-01,B,43,196
chr-01,A,46,339
chr-01,A,48,238
chr-01,A,49,474
chr-01,B,50,17
chr-01,B,51,138
chr-01,A,52,465
chr-01,A,53,54
chr-01,A,56,383
chr-01,A,57,189
chr-01,B,58,380
chr-01,B,59,194
chr-01,A,60,282
chr-01,A,62,296
chr-01,B,63,133
chr-01,B,66,46
chr-01,A,67,344
chr-01,B,70,222
chr-01,B,71,231
chr-01,B,72,83
chr-01,A,73,418
chr-01,B,77,134
chr-01,B,84,434
chr-01,A,85,39
chr-01,A,86,41
chr-01,B,89,400
chr-01,B,90,348
chr-01,B,92,49
chr-01,B,95,456
chr-01,A,96,297
chr-01,A,97,442
chr-01,B,100,320
chr-02,B,2,260
chr-02,A,3,336
chr-02,B,4,175
chr-02,A,5,1
chr-02,A,6,490
chr-02,A,8,225
chr-02,A,10,390
chr-02,B,13,248
chr-02,B,16,277
chr-02,A,18,483
chr-02,A,20,423
chr-02,B,21,298
chr-02,B,22,274
chr-02,A,24,26
chr-02,A,25,399
chr-02,B,27,417
chr-02,A,28,204
chr-02,B,29,432
chr-02,A,30,302
chr-02,B,31,406
chr-02,B,32,290
chr-02,B,33,43
chr-02,B,35,317
chr-02,B,37,411
chr-02,A,38,27
chr-02,B,39,98
chr-02,A,41,398
chr-02,A,43,327
chr-02,A,45,486
chr-02,A,47,350
chr-02,B,49,232
chr-02,B,55,88
chr-02,A,56,95
chr-02,B,58,389
chr-02,B,60,135
chr-02,A,62,366
chr-02,A,64,61
chr-02,B,65,261
chr-02,B,68,473
chr-02,A,70,496
chr-02,A,72,310
chr-02,A,74,214
chr-02,B,76,215
chr-02,B,80,259
chr-02,A,81,200
chr-02,B,82,497
chr-02,A,84,264
chr-02,B,87,466
chr-02,B,88,187
chr-02,A,89,100
chr-02,B,95,136
chr-02,B,97,129
chr-02,A,98,340
chr-02,B,99,172
chr-02,A,100,471
chr-03,A,1,294
chr-03,A,2,212
chr-03,B,3,286
chr-03,A,6,454
chr-03,B,9,374
chr-03,A,10,242
chr-03,B,11,463
chr-03,A,17,492
chr-03,B,18,467
